Trial,ESN,Name,Lat,Lng,Timestamp,Datetime,Order ,ID ,,,,
1,331254,UNHCMB,43.068477,-70.869155,1342198500,7/13/12 12:55,52,LB21,,,,,0.7785909959430081
1,331254,UNHCMB,43.063016,-70.864713,1342196700,7/13/12 12:25,53,LB21,,,,,0.7059183794589994
1,331254,UNHCMB,43.06264,-70.855508,1342194900,7/13/12 11:55,54,LB21,,,,,0.748508260650627
1,331254,UNHCMB,43.061578,-70.851603,1342193160,7/13/12 11:26,55,LB21,,,,,0.33829749122681885
1,331254,UNHCMB,43.060441,-70.848985,1342191300,7/13/12 10:55,56,LB21,,,,,0.24727529819827093
1,331254,UNHCMB,43.059808,-70.847268,1342189500,7/13/12 10:25,57,LB21,,,,,0.15614843376065837
1,331254,UNHCMB,43.059915,-70.846946,1342185900,7/13/12 9:25,58,LB21,,,,,0.028720896485371367
1,331254,UNHCMB,43.060452,-70.847933,1342184160,7/13/12 8:56,59,LB21,,,,,0.09991439018895128
1,331254,UNHCMB,43.060892,-70.848684,1342182300,7/13/12 8:25,60,LB21,,,,,0.07815785889604497
1,331254,UNHCMB,43.061814,-70.85098,1342181160,7/13/12 8:06,61,LB21,,,,,0.21271463145305888
1,331254,UNHCMB,43.063284,-70.858448,1342178700,7/13/12 7:25,62,LB21,,,,,0.6279391599976559
1,331254,UNHCMB,43.066235,-70.864971,1342176900,7/13/12 6:55,63,LB21,,,,,0.6228881218316885
1,331254,UNHCMB,43.07161,-70.869219,1342175100,7/13/12 6:25,64,LB21,,,,,0.6897022582219978
1,331254,UNHCMB,43.079528,-70.868597,1342173660,7/13/12 6:01,65,LB21,,,,,0.8813360054873127
1,331254,UNHCMB,43.084849,-70.863619,1342171500,7/13/12 5:25,66,LB21,,,,,0.7161504389066845
1,331254,UNHCMB,43.088969,-70.861022,1342169700,7/13/12 4:55,67,LB21,,,,,0.504018621674445
1,331254,UNHCMB,43.090192,-70.861216,1342167900,7/13/12 4:25,68,LB21,,,,,0.1368148718456211
1,331254,UNHCMB,43.091995,-70.859842,1342166160,7/13/12 3:56,69,LB21,,,,,0.22929498586640698
1,331254,UNHCMB,43.092638,-70.858598,1342164300,7/13/12 3:25,70,LB21,,,,,0.12367904098170088
1,331254,UNHCMB,43.092628,-70.858598,1342162560,7/13/12 2:56,71,LB21,,,,,0.0011112511348974063
1,331254,UNHCMB,43.092628,-70.858619,1342160760,7/13/12 2:26,72,LB21,,,,,0.001704131827405316
1,331254,UNHCMB,43.090492,-70.86098,1342158900,7/13/12 1:55,73,LB21,,,,,0.30504181297979127
1,331254,UNHCMB,43.091383,-70.86055,1342157160,7/13/12 1:26,74,LB21,,,,,0.1049816069793929
1,331254,UNHCMB,43.094387,-70.857739,1342155360,7/13/12 0:56,75,LB21,,,,,0.404313641477991
1,331254,UNHCMB,43.094183,-70.859349,1342153860,7/13/12 0:31,76,LB21,,,,,0.13259877074623178
1,331254,UNHCMB,43.085085,-70.866709,1342152060,7/13/12 0:01,77,LB21,,,,,1.1742680593572636
1,331254,UNHCMB,43.081813,-70.874498,1342149960,7/12/12 23:26,78,LB21,,,,,0.7292729027125987
1,331254,UNHCMB,43.080622,-70.879047,1342148100,7/12/12 22:55,79,LB21,,,,,0.3922207480244389
1,331254,UNHCMB,43.080182,-70.8816,1342146300,7/12/12 22:25,80,LB21,,,,,0.21290566238439684
