0-737695,-70.761974,43.088765,1,1568708955
0-737695,-70.760193,43.089516,1,1568710224
0-737695,-70.76015,43.089538,1,1568712014
0-737695,-70.7603,43.089409,1,1568713814
0-737695,-70.760665,43.089602,1,1568715614
0-737695,-70.760901,43.089784,1,1568717413
0-737695,-70.762703,43.090793,1,1568719229
0-737695,-70.787165,43.104236,1,1568721014
0-737695,-70.810812,43.118398,1,1568722814
0-737695,-70.840466,43.11857,1,1568724614
0-737695,-70.85407,43.12784,1,1568726414
0-737695,-70.861988,43.125876,1,1568728223
0-737695,-70.86673,43.121735,1,1568730029
0-737695,-70.864413,43.117572,1,1568731813
0-737695,-70.856924,43.112036,1,1568733614
0-737695,-70.856602,43.107176,1,1568735946
0-737695,-70.857117,43.107251,1,1568737746
0-737695,-70.85922,43.111199,1,1568739013
0-737695,-70.862439,43.119128,1,1568740814
0-737695,-70.855701,43.126327,1,1568742629
0-737695,-70.841882,43.12152,1,1568744414
0-737695,-70.820704,43.119568,1,1568746214
0-737695,-70.794783,43.106543,1,1568748014
0-737695,-70.781243,43.097005,1,1568750850
0-737695,-70.757854,43.08148,1,1568751624
0-737695,-70.746138,43.076845,1,1568753414
0-737695,-70.746567,43.076824,1,1568755214
0-737695,-70.746632,43.076878,1,1568757014
0-737695,-70.747383,43.076878,1,1568758814
0-737695,-70.748777,43.077993,1,1568760614
0-737695,-70.752532,43.078669,1,1568763460
0-737695,-70.761266,43.086855,1,1568764746
0-737695,-70.785749,43.102627,1,1568766029
0-737695,-70.809438,43.117239,1,1568767813
0-737695,-70.838599,43.118398,1,1568769613
0-737695,-70.850594,43.12638,1,1568771414
0-737695,-70.859692,43.126177,1,1568773214
0-737695,-70.86585,43.120962,1,1568775014
0-737695,-70.858512,43.115619,1,1568776812
0-737695,-70.856473,43.109375,1,1568778614
0-737695,-70.856409,43.105706,1,1568780429
0-737695,-70.85789,43.107487,1,1568782213
0-737695,-70.85952,43.112798,1,1568784546
0-737695,-70.863554,43.119793,1,1568785814
0-737695,-70.856388,43.124782,1,1568787614
0-737695,-70.851173,43.123634,1,1568789414
0-737695,-70.843191,43.118398,1,1568791224
0-737695,-70.835381,43.117089,1,1568793014
0-737695,-70.823128,43.116789,1,1568794833
0-737695,-70.822914,43.116456,1,1568796613
0-737695,-70.822892,43.116467,1,1568798414
0-737695,-70.822892,43.116488,1,1568800214
0-737695,-70.822849,43.116467,1,1568802014
0-737695,-70.822785,43.116478,1,1568803814
0-737695,-70.822656,43.116338,1,1568806146
0-737695,-70.822613,43.116231,1,1568807429
0-737695,-70.822463,43.116091,1,1568811014
0-737695,-70.82242,43.116081,1,1568812814
0-737695,-70.822377,43.116102,1,1568814614
0-737695,-70.82257,43.115909,1,1568816429
0-737695,-70.822463,43.115909,1,1568818214
,,,,
0-737695,-70.767467,43.093754,2,1569423446
0-737695,-70.758841,43.086029,2,1569424714
0-737695,-70.755236,43.080601,2,1569426514
0-737695,-70.75294,43.079249,2,1569428313
0-737695,-70.757918,43.082725,2,1569430124
0-737695,-70.764463,43.091748,2,1569432445
0-737695,-70.766888,43.09517,2,1569433714
